WWI_ID,MSNDATE,OPERATION,COUNTRY,SERVICE,UNIT,MDS,MISSIONNUM,TAKEOFFTIME,NUMBEROFPLANESATTACKING,CALLSIGN,WEAPONSEXPENDED,WEAPONTYPE,WEAPONWEIGHT,BOMBLOAD,LATITUDE,LONGITUDE,TGTLOCATION,TGTCOUNTRY,TGTTYPE,TAKEOFFBASE,TAKEOFFLATITUDE,TAKEOFFLONGITUDE,BDA,ENEMYACTION,ROUTEDETAILS,ISRCOLLECTED,FRIENDLYCASUALTIES,WEATHER,ALTITUDE
1,16/10/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,8,,,,1792,224,49.233333,7,SAARBRUCKEN,GERMANY,BURBACH WORKS-BLAST FUM,OCHEY,48.58129185,5.95351696,,,,,0,,10000
2,20/10/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,49.266667,6.783333,WADGASSEN & BOUS,GERMANY,FACTORY & RAILWAYS,OCHEY,48.58129185,5.95351696,,,,,1,,10000
3,23/10/1917,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,12,,,,3335,277.9166667,49.233333,7,"SAARBRUCKEN, ETC",GERMANY,"RAILWAY JTN, STN.TRAINS",OCHEY,48.58129185,5.95351696,,,,,2,,10000
4,23/10/1917,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,7,,,,9408,1344,49.233333,7,"SAARBRUCKEN, ETC",GERMANY,BURBACH WORKS,VILLESENEUX,48.78108005,4.1631317,,,,,2,,10000
5,28/10/1917,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,3,,,,915,305,49.233333,7,SAARBRUCKEN & OTHERS,GERMANY,"RAILWAYS, BRDG,TRAINS",OCHEY,48.58129185,5.95351696,,,,,0,,10000
6,29/10/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2712,226,49.2037161,7.6047455,PIRMASENS,GERMANY,BOOT FACTORY,OCHEY,48.58129185,5.95351696,,,,,0,,10000
7,29/10/1917,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,10,,,,3075,307.5,,,SAAR VALLEY,GERMANY,"FACT, FUM, STEELWRKS, TM",OCHEY,48.58129185,5.95351696,,,,,0,,9999
8,31/10/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,6,,,,1362,227,49.4446997,7.7690041,KAISERSLAUTERN,GERMANY,MUNITIONS FACTORY,OCHEY,48.58129185,5.95351696,,,,,0,,10000
9,04/12/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2440,221.8181818,49.233333,7,SAARBRUCKEN & ZWEIBRUCKEN,GERMANY,"FACTORY, TOWN, RAIL STATION",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
10,05/12/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2406,218.7272727,49.233333,7,SAARBRUCKEN,GERMANY,BURBACH WORKS,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
11,10/12/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,7,,,,1594,227.7142857,49.2037161,7.6047455,PIRMASENS,GERMANY,RAIL JUNCTION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
12,23/12/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,10,,,,2252,225.2,49.488333,8.464722,MANNHEIM,GERMANY,"LANZ CO, RAIL JTN, BASF",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
13,02/01/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,5,,,,1190,238,49.115461,6.175875,"METZ, MAZIERES, WOIPPY",FRANCE,FURNACES & RAILROADS,OCHEY,48.58129185,5.95351696,,,,,0,,10000
14,03/01/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,8,,,,3020,377.5,49.119666,6.176905,5 SITES W/I 20 NM OF METZ,FRANCE,"RAIL, FACT, FURNACE",OCHEY,48.58129185,5.95351696,,,,,0,,10000
15,04/01/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,6,,,,2260,376.6666667,49.16768,5.848631,CONFLANS & MARS,FRANCE,RAIL JTN & STATION,OCHEY,48.58129185,5.95351696,,,,,0,,10000
16,04/01/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,1,,,,1344,1344,49.066651,6.308383,COURCELLES,FRANCE,RAIL JUNCTION,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
17,13/01/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2752,229.3333333,49.0080848,8.4037563,KARLSRUHE,GERMANY,"MUNITION WORKS, RAILWAYS",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
18,13/01/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,6,,,,2195,365.8333333,49.356794,6.167606,THIONVILLE,FRANCE,"STEEL WORKS, RAIL JTN",OCHEY,48.58129185,5.95351696,,,,,0,,10000
19,15/01/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,2,,,,560,280,,,ORNY,SWITZERLAND,RAIL SIDINGS & SEARCHLITE,OCHEY,48.58129185,5.95351696,,,,,0,,9999
20,20/01/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,11,,,,3510,319.0909091,49.356794,6.167606,"THIONVILLE, BEMSDORF, FALKNBG",FRANCE,FACTORIES & RAIL TARGETS,OCHEY,48.58129185,5.95351696,,,,,1,,10000
21,20/01/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,1,,,,1344,1344,49.011487,6.030617,ARNAVILLE,FRANCE,RAILWAY,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
22,23/01/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,10,,,,2594,259.4,45.538718,4.675828,"TREVES, THIONVILLE, ETC",FRANCE,"TOWNS, STEEL WORKS",OCHEY,48.58129185,5.95351696,,,,,1,,10000
23,23/01/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,2,,,,2688,1344,49.488333,8.464722,MANNHEIM,GERMANY,BASF,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
24,26/01/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,7,,,,1356,193.7142857,45.538718,4.675828,TREVES,FRANCE,BARRACKS & STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
25,08/02/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,3,,,,962,320.6666667,49.066651,6.308383,COURCELLES,FRANCE,SIDINGS & STATION,OCHEY,48.58129185,5.95351696,,,,,1,,10000
26,11/02/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2838,236.5,48.45,7.916667,OFFENBURG,GERMANY,BARRACKS & STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
27,15/02/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,5,,,,1708,341.6,49.1641817,5.872321129,CONFLANS,FRANCE,SIDINGS & STATION,OCHEY,48.58129185,5.95351696,,,,,0,,10000
28,15/02/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,0,,,,0,0,49.1641817,5.872321129,CONFLANS,FRANCE,RAIL (ABORTED RAID),VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
29,17/02/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,0,,,,0,,49.488333,8.464722,MANNHEIM,GERMANY,BASF (ABORTED RAID),TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
30,17/02/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,6,,,,2192,365.3333333,49.1641817,5.872321129,CONFLANS,FRANCE,SIDINGS & STATION,OCHEY,48.58129185,5.95351696,,,,,0,,6500
31,17/02/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,0,,,,0,0,0,0,UNKNOWN,GERMANY,UNKNOWN (ABORTED RAID),,,,,,,,0,,9999
